Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,
BSQR,BSQUARE Corporation,2.11,$26.9M,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bsqr,,,
BLDR,"Builders FirstSource, Inc.",13.59,$1.56B,2005,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr,,,
BFST,"Business First Bancshares, Inc.",24.21,$319.89M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bfst,,,
CFFI,C&F Financial Corporation,50.18,$175.72M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cffi,,,
CHRW,"C.H. Robinson Worldwide, Inc.",91.01,$12.51B,1997,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/chrw,,,
CCMP,Cabot Microelectronics Corporation,99.53,$2.88B,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/ccmp,,,
CDNS,"Cadence Design Systems, Inc.",52.13,$14.71B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns,,,
CDZI,"Cadiz, Inc.",10.14,$248.6M,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cdzi,,,
CZR,Caesars Entertainment Corporation,9.41,$6.3B,2012,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/czr,,,
CSTE,Caesarstone Ltd.,16.31,$560.23M,2012,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cste,,,
CLBS,"Caladrius Biosciences, Inc.",5.21,$51.28M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/clbs,,,
CHY,Calamos Convertible and High Income Fund,10.99,$802.36M,2003,n/a,n/a,https://www.nasdaq.com/symbol/chy,,,
CHI,Calamos Convertible Opportunities and Income Fund,10.22,$715.64M,2002,n/a,n/a,https://www.nasdaq.com/symbol/chi,,,
CCD,Calamos Dynamic Convertible & Income Fund,19.45,$474.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ccd,,,
CHW,Calamos Global Dynamic Income Fund,7.67,$453.67M,2007,n/a,n/a,https://www.nasdaq.com/symbol/chw,,,
CGO,Calamos Global Total Return Fund,11.76,$101.66M,2005,n/a,n/a,https://www.nasdaq.com/symbol/cgo,,,
CSQ,Calamos Strategic Total Return Fund,12.07,$1.87B,2004,n/a,n/a,https://www.nasdaq.com/symbol/csq,,,
CAMP,CalAmp Corp.,14.43,$494.36M,1983,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp,,,
CVGW,"Calavo Growers, Inc.",80.06,$1.41B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw,,,
CALA,"Calithera Biosciences, Inc.",5.24,$199.78M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cala,,,
CALM,"Cal-Maine Foods, Inc.",44.5,$2.16B,1996,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/calm,,,
CLMT,"Calumet Specialty Products Partners, L.P.",3.1,$239.15M,2006,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/clmt,,,
CRUSC,Calvert Management Series,99.98,$99.98M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crusc,,,
CLXT,"Calyxt, Inc.",13.18,$429.3M,2017,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt,,,
CATC,Cambridge Bancorp,79.7,$327.95M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/catc,,,
CAC,Camden National Corporation,43.19,$673.41M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cac,,,
CAMT,Camtek Ltd.,8.16,$297.3M,2000,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/camt,,,
CSIQ,Canadian Solar Inc.,21.33,$1.25B,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq,,,
CGIX,"Cancer Genetics, Inc.",0.2611,$10.72M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cgix,,,
CPHC,Canterbury Park Holding Corporation,14.9025,$67.42M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/cphc,,,
CBNK,"Capital Bancorp, Inc.",12,$164.07M,2018,Finance,Major Banks,https://www.nasdaq.com/symbol/cbnk,,,
CCBG,Capital City Bank Group,24.88,$424.42M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ccbg,,,
CPLP,Capital Product Partners L.P.,2.26,$287.58M,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/cplp,,,
CSWC,Capital Southwest Corporation,21.55,$371.38M,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswc,,,
CSWCL,Capital Southwest Corporation,25.8781,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswcl,,,
CPTA,Capitala Finance Corp.,8.5,$136.25M,2013,n/a,n/a,https://www.nasdaq.com/symbol/cpta,,,
CPTAG,Capitala Finance Corp.,25.09,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptag,,,
CPTAL,Capitala Finance Corp.,25.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptal,,,
CFFN,"Capitol Federal Financial, Inc.",13.05,$1.84B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn,,,
CAPR,"Capricor Therapeutics, Inc.",0.44,$13.67M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/capr,,,
CSTR,"CapStar Financial Holdings, Inc.",16.27,$288.38M,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/cstr,,,
CPST,Capstone Turbine Corporation,0.767,$54.91M,2000,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cpst,,,
CARA,"Cara Therapeutics, Inc.",16.56,$653.24M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cara,,,
CBLK,"Carbon Black, Inc.",15.49,$1.05B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cblk,,,
CARB,"Carbonite, Inc.",25.57,$883.65M,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb,,,
CSII,"Cardiovascular Systems, Inc.",34.2,$1.19B,1981,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/csii,,,
CDLX,"Cardlytics, Inc.",17.15,$367.21M,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cdlx,,,
CATM,Cardtronics plc,28.17,$1.3B,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/catm,,,
CDNA,"CareDx, Inc.",24.44,$1.01B,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna,,,
CECO,Career Education Corporation,13.39,$934.1M,1998,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ceco,,,
CTRE,"CareTrust REIT, Inc.",21.85,$1.83B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ctre,,,
CARG,"CarGurus, Inc.",39.85,$4.39B,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/carg,,,
CARO,Carolina Financial Corporation,35.26,$786.3M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caro,,,
CART,"Carolina Trust BancShares, Inc.",8.35,$59.76M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cart,,,
CRZO,"Carrizo Oil & Gas, Inc.",11.62,$1.06B,1997,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crzo,,,
TAST,"Carrols Restaurant Group, Inc.",9.11,$332.87M,2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/tast,,,
CARV,"Carver Bancorp, Inc.",3.8233,$14.14M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/carv,,,
CASM,"CAS Medical Systems, Inc.",2.42,$69.84M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/casm,,,
CASA,"Casa Systems, Inc.",11.77,$974.26M,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa,,,
CWST,"Casella Waste Systems, Inc.",33.77,$1.57B,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst,,,
CASY,"Caseys General Stores, Inc.",132.31,$4.84B,1983,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/casy,,,
CASI,"CASI Pharmaceuticals, Inc.",3.4,$318.2M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/casi,,,
CASS,"Cass Information Systems, Inc",52.62,$776.32M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cass,,,
CTRM,Castor Maritime Inc.,5.05,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ctrm,,,
CATB,"Catabasis Pharmaceuticals, Inc.",4.45,$33.36M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/catb,,,
CBIO,"Catalyst Biosciences, Inc. ",8.32,$99.36M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbio,,,
CPRX,"Catalyst Pharmaceuticals, Inc.",2.66,$273.29M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cprx,,,
CATS,"Catasys, Inc.",12.12,$195.57M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/cats,,,
CATY,Cathay General Bancorp,38.41,$3.09B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caty,,,
CGVIC,Causeway ETMF Trust,100.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cgvic,,,
CIVEC,Causeway ETMF Trust,100.12,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/civec,,,
CVCO,"Cavco Industries, Inc.",147.07,$1.34B,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco,,,
CBFV,"CB Financial Services, Inc.",25.91,$140.75M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cbfv,,,
CBAT,"CBAK Energy Technology, Inc.",1.15,$30.64M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cbat,,,
CBMB,"CBM Bancorp, Inc.",12.73,$53.87M,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cbmb,,,
CBOE,"Cboe Global Markets, Inc.",94,$10.51B,2010,n/a,n/a,https://www.nasdaq.com/symbol/cboe,,,
CBTX,"CBTX, Inc.",32.84,$817.95M,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/cbtx,,,
CDK,"CDK Global, Inc.",56.24,$7.01B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cdk,,,
CDW,CDW Corporation,92.72,$13.91B,2013,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/cdw,,,
CECE,CECO Environmental Corp.,7.21,$251.99M,n/a,Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/cece,,,
CELC,Celcuity Inc.,22.35,$227.05M,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/celc,,,
CELG,Celgene Corporation,89.08,$62.45B,1987,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celg,,,
CELGZ,Celgene Corporation,0.9857,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celgz,,,
CLDX,"Celldex Therapeutics, Inc.",4.99,$860.6M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/cldx,,,
APOP,Cellect Biotechnology Ltd.,1.08,$7.04M,2016,n/a,n/a,https://www.nasdaq.com/symbol/apop,,,
APOPW,Cellect Biotechnology Ltd.,0.25,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/apopw,,,
CLRB,"Cellectar Biosciences, Inc.",1.81,$8.61M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrb,,,
CLRBW,"Cellectar Biosciences, Inc.",0.1189,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbw,,,
CLRBZ,"Cellectar Biosciences, Inc.",0.06,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbz,,,
CLLS,Cellectis S.A.,17.11,$725.98M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/clls,,,
CBMG,"Cellular Biomedicine Group, Inc.",17.98,$330.77M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbmg,,,
CLSN,Celsion Corporation,2.16,$40.46M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clsn,,,
CELH,"Celsius Holdings, Inc.",3.55,$181.51M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/celh,,,
CYAD,Celyad SA,20.25,$241.83M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyad,,,
CETX,Cemtrex Inc.,0.8899,$11.86M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetx,,,
CETXP,Cemtrex Inc.,2.39,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxp,,,
CETXW,Cemtrex Inc.,0.0489,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxw,,,
CDEV,"Centennial Resource Development, Inc.",12.33,$3.41B,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev,,,
CSFL,CenterState Bank Corporation,26.5,$2.54B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/csfl,,,
CETV,Central European Media Enterprises Ltd.,3.29,$831.89M,1994,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cetv,,,
CFBK,Central Federal Corporation,12.6949,$54.62M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cfbk,,,
CENT,Central Garden & Pet Company,31.16,$1.8B,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent,,,
CENTA,Central Garden & Pet Company,27.88,$1.61B,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/centa,,,
CVCY,Central Valley Community Bancorp,19.87,$273.31M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cvcy,,,
CNTX,Centrexion Therapeutics Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cntx,,,
CTRC,Centric Brands Inc.,3.31,$193.09M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ctrc,,,
CENX,Century Aluminum Company,8.47,$742.24M,1996,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx,,,
CNBKA,"Century Bancorp, Inc.",77.69,$432.57M,1987,Finance,Major Banks,https://www.nasdaq.com/symbol/cnbka,,,
CNTY,"Century Casinos, Inc.",8.29,$244.05M,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/cnty,,,
CRNT,Ceragon Networks Ltd.,4.42,$346.4M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/crnt,,,
CERC,Cerecor Inc.,5.1,$208.1M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cerc,,,
CERN,Cerner Corporation,58.82,$19.38B,1986,Technology,EDP Services,https://www.nasdaq.com/symbol/cern,,,
CERS,Cerus Corporation,6.28,$852.13M,1997,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cers,,,
KOOL,Cesca Therapeutics Inc.,0.3417,$7.4M,n/a,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kool,,,
CEVA,"CEVA, Inc.",31.07,$680.51M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/ceva,,,
CFFA,CF Finance Acquisition Corp.,9.75,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/cffa,,,
CFFAU,CF Finance Acquisition Corp.,10.14,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/cffau,,,
CFFAW,CF Finance Acquisition Corp.,0.45,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/cffaw,,,
CSBR,"Champions Oncology, Inc.",10.785,$122.95M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/csbr,,,
CYOU,Changyou.com Limited,18.76,$988.99M,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou,,,
BURG,"Chanticleer Holdings, Inc.",2.04,$7.58M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/burg,,,
CTHR,Charles & Colvard Ltd.,1.0697,$23.07M,1997,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cthr,,,
GTLS,"Chart Industries, Inc.",81.48,$2.54B,2006,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/gtls,,,
CHTR,"Charter Communications, Inc.",340.4,$76.71B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/chtr,,,
CTAC,ChaSerg Technology Acquisition Corp.,9.79,$275.49M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctac,,,
CTACU,ChaSerg Technology Acquisition Corp.,10.1,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctacu,,,
CTACW,ChaSerg Technology Acquisition Corp.,0.65,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctacw,,,
CHKP,Check Point Software Technologies Ltd.,119.09,$18.94B,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chkp,,,
CHEK,Check-Cap Ltd.,2.09,$11.14M,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chek,,,
CHEKW,Check-Cap Ltd.,0.12,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekw,,,
CHEKZ,Check-Cap Ltd.,0.4,n/a,n/a,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekz,,,
CKPT,"Checkpoint Therapeutics, Inc.",3.81,$129.72M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ckpt,,,
CEMI,"Chembio Diagnostics, Inc.",7.05,$121.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cemi,,,
CHFC,Chemical Financial Corporation,45.42,$3.25B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chfc,,,
CCXI,"ChemoCentryx, Inc.",10.92,$569.94M,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ccxi,,,
CHMG,Chemung Financial Corp,46.01,$223.38M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chmg,,,
CHKE,Cherokee Inc.,0.7222,$10.27M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/chke,,,
CHFS,"CHF Solutions, Inc.",8.221,"$21,497.92 ",n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/chfs,,,
CHMA,"Chiasma, Inc.",3.53,$86.24M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/chma,,,
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",7.9,$91.76M,2017,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/csse,,,
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",24.7801,n/a,n/a,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/cssep,,,
PLCE,"Children&#39;s Place, Inc. (The)",91.23,$1.48B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/plce,,,
CMRX,"Chimerix, Inc.",2.13,$108.04M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cmrx,,,
CADC,"China Advanced Construction Materials Group, Inc.",3.25,$18.15M,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/cadc,,,
CAAS,"China Automotive Systems, Inc.",2.87,$90.82M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/caas,,,
GLG,"China Bat Group, Inc.",1.38,$1.36M,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/glg,,,
CBPO,"China Biologic Products Holdings, Inc.",81,$3.19B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbpo,,,
CCCL,"China Ceramics Co., Ltd.",1.76,$9.95M,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cccl,,,
CCRC,"China Customer Relations Centers, Inc.",10.17,$186.41M,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ccrc,,,
JRJC,China Finance Online Co. Limited,1,$23.62M,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc,,,
HGSH,"China HGS Real Estate, Inc.",1.02,$45.95M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/hgsh,,,
CIFS,China Internet Nationwide Financial Services Inc.,0.9215,$20.38M,2017,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/cifs,,,
CJJD,"China Jo-Jo Drugstores, Inc.",2.21,$63.95M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cjjd,,,
CLDC,China Lending Corporation,1.13,$27.72M,2014,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/cldc,,,
CHNR,"China Natural Resources, Inc.",1.7,$42.35M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/chnr,,,
CREG,China Recycling Energy Corporation,1.0276,$10.58M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/creg,,,
SXTC,"China SXT Pharmaceuticals, Inc.",5.61,$133.24M,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sxtc,,,
CNTF,China TechFaith Wireless Communication Technology Limited,1.1,$11.65M,2005,n/a,n/a,https://www.nasdaq.com/symbol/cntf,,,
CXDC,China XD Plastics Company Limited,2.94,$148.32M,n/a,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/cxdc,,,
CCIH,ChinaCache International Holdings Ltd.,1.11,$29.57M,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/ccih,,,
CNET,"ChinaNet Online Holdings, Inc.",1.67,$26.94M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cnet,,,
IMOS,ChipMOS TECHNOLOGIES INC.,16.65,$601.71M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/imos,,,
CDXC,ChromaDex Corporation,3.54,$195.06M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cdxc,,,
CHSCL,CHS Inc,26.92,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscl,,,
CHSCM,CHS Inc,25.5,$484.5M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscm,,,
CHSCN,CHS Inc,26.2194,$440.49M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscn,,,
CHSCO,CHS Inc,27.36,$309.69M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chsco,,,
CHSCP,CHS Inc,27.96,$202.21M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscp,,,
CHDN,"Churchill Downs, Incorporated",94,$11.48B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/chdn,,,
CHUY,"Chuy&#39;s Holdings, Inc.",22.35,$378.84M,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/chuy,,,
CBUS,Cibus Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbus,,,
CDTX,"Cidara Therapeutics, Inc.",2.6,$72.15M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cdtx,,,
CMCT,CIM Commercial Trust Corporation,17.7,$775.17M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cmct,,,
CMCTP,CIM Commercial Trust Corporation,29.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cmctp,,,
CMPR,Cimpress N.V,81.3,$2.51B,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/cmpr,,,
CINF,Cincinnati Financial Corporation,84.72,$13.79B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cinf,,,
CIDM,Cinedigm Corp,1.05,$37.29M,n/a,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/cidm,,,
CTAS,Cintas Corporation,200.59,$20.97B,1983,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ctas,,,
CRUS,"Cirrus Logic, Inc.",38.5,$2.28B,1989,Technology,Semiconductors,https://www.nasdaq.com/symbol/crus,,,
CSCO,"Cisco Systems, Inc.",47.89,$215.31B,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco,,,
CTRN,"Citi Trends, Inc.",20.76,$253.27M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/ctrn,,,
CTXR,"Citius Pharmaceuticals, Inc.",0.91,$16.2M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctxr,,,
CTXRW,"Citius Pharmaceuticals, Inc.",0.25,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctxrw,,,
CZNC,Citizens & Northern Corp,25.87,$318.7M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cznc,,,
CZWI,"Citizens Community Bancorp, Inc.",11.9,$130.35M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/czwi,,,
CZFC,Citizens First Corporation,22.08,$56.03M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/czfc,,,
CIZN,Citizens Holding Company,20.6601,$101.33M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cizn,,,
CTXS,"Citrix Systems, Inc.",105.44,$14.21B,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ctxs,,,
CHCO,City Holding Company,75.61,$1.25B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chco,,,
CIVB,"Civista Bancshares, Inc. ",19.13,$294.63M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/civb,,,
CIVBP,"Civista Bancshares, Inc. ",61.38,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/civbp,,,
CLAR,Clarus Corporation,11.18,$347.76M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/clar,,,
CLNE,Clean Energy Fuels Corp.,1.87,$380.49M,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/clne,,,
CACG,ClearBridge All Cap Growth ETF,29.61,$57.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cacg,,,
YLDE,ClearBridge Dividend Strategy ESG ETF,27.7002,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ylde,,,
LRGE,ClearBridge Large Cap Growth ESG ETF,32.05,$3.21M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lrge,,,
CLFD,"Clearfield, Inc.",13,$177.61M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/clfd,,,
CLRO,"ClearOne, Inc.",1.8801,$31.23M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/clro,,,
